Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;CATEGORIA_ELECTRICO;DISTINTIVO;CLAS_INDUSTRIA;CATEG_HOMOLOGACION_UE
4140;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
6910;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
4141;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4142;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4143;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
6938;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
4144;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
6905;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
4145;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
8783;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL;;C;2120;N2
3893;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;Sin distintivo;400;L3e
4146;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4147;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4148;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
3827;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3800;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3824;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3803;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3808;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3810;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3835;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
8002;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;;C;1000;M1
6943;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
3828;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3804;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
4149;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
3832;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
4150;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
6949;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
4151;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4152;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
3836;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3814;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3818;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3833;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3829;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
4153;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
3806;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
